Compound_ID,SMILES,Activity_Label
CHEMBL195032,N=C(N)c1ccc2ccc(CN(CCc3ccccn3)C(=O)c3cccc4ccccc34)cc2c1,1
CHEMBL195238,N=C(N)c1ccc2ccc(CN(CCCc3ccccc3)C(=O)c3cccc4ccccc34)cc2c1,1
CHEMBL195314,N=C(N)c1ccc2ccc(CN(CCc3c[nH]cn3)C(=O)c3cccc4ccccc34)cc2c1,1
CHEMBL196182,N=C(N)c1ccc2ccc(CN(CCC[n+]3cc[nH]c3)C(=O)c3cccc4ccccc34)cc2c1,1
CHEMBL197032,CC1CCCCN1CCCN(Cc1ccc2ccc(C(=N)N)cc2c1)C(=O)c1cccc2ccccc12,1
CHEMBL197563,N=C(N)c1ccc2ccc(CN(CCCN3CCOCC3)C(=O)c3cccc4ccccc34)cc2c1,1
CHEMBL198629,Cc1cc2cc(NC(=N/[C@H]3CCCCN(CC(=O)N4CCCC4)C3=O)/C(C#N)=C(\O)OCCCCO)ccc2o1,0
CHEMBL199271,CCOc1cc(OCC)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,1
CHEMBL202010,N=C(N)c1ccc2[nH]c(-c3nc4ccccc4[nH]3)nc2c1,1
CHEMBL202010,N=C(N)c1ccc2[nH]c(-c3nc4ccccc4[nH]3)nc2c1,0
CHEMBL202433,N=C(N)c1ccc2[nH]c(-c3cnc[nH]3)nc2c1,1
CHEMBL202433,N=C(N)c1ccc2[nH]c(-c3cnc[nH]3)nc2c1,0
CHEMBL202784,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccc(CN)c4)c3O)nc2c1,1
CHEMBL202799,COc1ccc(C#N)cc1-c1cc(C(CC(=O)O)C(=O)O)cc(-c2nc3cc(C(=N)N)ccc3[nH]2)c1O,1
CHEMBL202807,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4c(O)cc(Cl)cc4Cl)c3O)nc2c1,1
CHEMBL202850,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4ccc(F)c(Cl)c4)c3O)nc2c1,1
CHEMBL203008,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4ccccc4F)c3O)nc2c1,1
CHEMBL203046,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccc(N)c4)c3O)nc2c1,1
CHEMBL203055,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccc(Cl)c4)c3O)nc2c1,1
CHEMBL203728,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cc(Cl)cc(Cl)c4O)c3O)nc2c1,1
CHEMBL203825,CC(=O)c1ccccc1-c1cc(C(CC(=O)O)C(=O)O)cc(-c2nc3cc(C(=N)N)ccc3[nH]2)c1O,1
CHEMBL203834,Oc1ccccc1-c1cccc(-c2nc3ccccc3[nH]2)c1O,0
CHEMBL2040983,O=C(Nc1ccc(N2CCOCC2=O)cc1)[C@H]1Cc2ccccc2CN1C(=O)Cc1ccc(Cl)cc1,0
CHEMBL204126,N=C(N)c1ccc2[nH]c(Cc3ccccn3)nc2c1,0
CHEMBL204159,COc1ccc(F)cc1-c1cc(C(CC(=O)O)C(=O)O)cc(-c2nc3cc(C(=N)N)ccc3[nH]2)c1O,1
CHEMBL204228,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccnc4)c3O)nc2c1,1
