Compound_ID,Activity_Label,Source,SMILES,MolWt,LogP,HBA,HBD
CHEMBL142205,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])n2c(-c3c([H])c(N([H])[H])c([H])c(N([H])[H])c3[H])c([H])c([H])c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c2=O)c([H])c1[H])N([H])[H],447.54299999999967,2.1004699999999996,7,6
CHEMBL151939,0,ChEMBL_PKM2,[H]c1c([H])c([H])c(S(=O)(=O)N([H])[H])c(-c2c([H])c([H])c(N([H])C(=O)c3c([H])c(C(F)(F)F)nn3-c3c([H])c([H])c([H])c([H])c3C([H])([H])N([H])[H])c(F)c2[H])c1[H],533.5070000000011,4.055600000000002,6,3
CHEMBL168471,0,ChEMBL_PKM2,[H]C(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])S(=O)(=O)c1c([H])c([H])c(F)c([H])c1[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],372.46199999999965,1.8583999999999996,4,2
CHEMBL175436,0,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)N([H])[C@@]1([H])C(=O)N([H])[C@@]([H])([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])C([H])([H])c2c([H])c([H])c(O[H])c([H])c2[H])C(=O)N(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],851.0190000000022,0.5992700000000118,10,11
CHEMBL176140,0,ChEMBL_PKM2,[H]c1c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c(-c2c([H])c([H])c(N([H])C(=O)c3c([H])c(C(F)(F)F)nn3-c3c([H])c([H])c([H])c(C([H])([H])N([H])[H])c3[H])c(F)c2[H])c1[H],532.5190000000009,4.811700000000003,6,2
CHEMBL177450,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(c2c([H])c([H])c3c(c2[H])N([H])C(=O)C([H])([H])O3)C([H])([H])[H])c([H])c1F)N([H])[H],428.4239999999998,1.439569999999999,5,6
CHEMBL178134,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)O[H])c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c(OC([H])([H])[H])c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2S(=O)(=O)c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H])N([H])[H],678.7670000000014,5.486370000000004,9,5
CHEMBL178616,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)O[H])c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c(OC([H])([H])[H])c2[H])c([H])c1[H])N([H])[H],538.6040000000014,4.653570000000003,7,5
CHEMBL1790570,1,ChEMBL_PKM2,[H]c1nc(C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H])sc1[H],655.8470000000018,2.1260000000000012,8,5
CHEMBL179270,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C([H])(C(=O)N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c(OC([H])([H])[H])c2[H])c([H])c1[H])N([H])[H],494.59499999999986,5.027870000000004,5,4
CHEMBL1797519,0,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H])[C@]([H])(O[H])C([H])([H])[H],526.6380000000005,0.07757000000000547,7,8
CHEMBL1797520,0,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H])[C@]([H])(O[H])C([H])([H])[H],568.6750000000019,0.25497000000000464,7,8
CHEMBL1797521,0,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])S(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],676.884000000002,3.1981700000000046,6,6
CHEMBL1797522,0,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],556.7110000000018,2.233870000000005,5,6
CHEMBL1797523,0,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],598.7480000000019,2.4112700000000027,5,6
CHEMBL1797524,0,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])S(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],710.9010000000017,3.3947700000000056,6,6
CHEMBL1797525,0,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],710.9010000000017,3.3947700000000056,6,6
